CERES - EBAFTOA42 Data
Parameter: Incoming Solar Flux (W m-2)
Time Range: March - 2023
Time Resolution: MON
Selected Region: [-90,0 to 90,360]
Valid Range: 0 - 800
Satellite: -

Latitude  Longitude  Data
-88.5     318.5     61.48
-88.5     319.5     61.48
-88.5     320.5     61.48
-88.5     321.5     61.48
-88.5     322.5     61.48
-88.5     323.5     61.48
-88.5     324.5     61.5
-88.5     325.5     61.5
-88.5     326.5     61.5
-88.5     327.5     61.5
-88.5     328.5     61.5
-88.5     329.5     61.5
-88.5     330.5     61.5
-88.5     331.5     61.5
-88.5     332.5     61.52
-88.5     333.5     61.52
-88.5     334.5     61.52
-88.5     335.5     61.52
-88.5     336.5     61.52
-88.5     337.5     61.52
-88.5     338.5     61.52
-88.5     339.5     61.52
-88.5     340.5     61.54
-88.5     341.5     61.54
-88.5     342.5     61.54
-88.5     343.5     61.54
-88.5     344.5     61.54
-88.5     345.5     61.54
-88.5     346.5     61.54
-88.5     347.5     61.54
-88.5     348.5     61.57
-88.5     349.5     61.57
-88.5     350.5     61.57
-88.5     351.5     61.57
-88.5     352.5     61.57
-88.5     353.5     61.57
-88.5     354.5     61.57
-88.5     355.5     61.57
-88.5     356.5     61.6
-88.5     357.5     61.6
-88.5     358.5     61.6
-88.5     359.5     61.6
-87.5     0.5     63.5
-87.5     1.5     63.5
-87.5     2.5     63.5
-87.5     3.5     63.5
-87.5     4.5     63.55
-87.5     5.5     63.55
-87.5     6.5     63.55
-87.5     7.5     63.55
-87.5     8.5     63.55
-87.5     9.5     63.55
-87.5     10.5     63.55
-87.5     11.5     63.55
-87.5     12.5     63.59
-87.5     13.5     63.59
-87.5     14.5     63.59
-87.5     15.5     63.59
-87.5     16.5     63.59
-87.5     17.5     63.59
-87.5     18.5     63.59
-87.5     19.5     63.59
-87.5     20.5     63.63
-87.5     21.5     63.63
-87.5     22.5     63.63
-87.5     23.5     63.63
-87.5     24.5     63.63
-87.5     25.5     63.63
-87.5     26.5     63.63
-87.5     27.5     63.63
-87.5     28.5     63.67
-87.5     29.5     63.67
-87.5     30.5     63.67
-87.5     31.5     63.67
-87.5     32.5     63.67
-87.5     33.5     63.67
-87.5     34.5     63.67
-87.5     35.5     63.67
-87.5     36.5     63.71
-87.5     37.5     63.71
-87.5     38.5     63.71
-87.5     39.5     63.71
-87.5     40.5     63.71
-87.5     41.5     63.71
-87.5     42.5     63.71
-87.5     43.5     63.71
-87.5     44.5     63.74
-87.5     45.5     63.74
-87.5     46.5     63.74
-87.5     47.5     63.74
-87.5     48.5     63.74
-87.5     49.5     63.74
-87.5     50.5     63.74
-87.5     51.5     63.74
-87.5     52.5     63.77
-87.5     53.5     63.77
-87.5     54.5     63.77
-87.5     55.5     63.77
-87.5     56.5     63.77
-87.5     57.5     63.77
-87.5     58.5     63.77
-87.5     59.5     63.77
-87.5     60.5     63.8
-87.5     61.5     63.8
-87.5     62.5     63.8
-87.5     63.5     63.8
-87.5     64.5     63.8
-87.5     65.5     63.8
-87.5     66.5     63.8
-87.5     67.5     63.8
-87.5     68.5     63.82
-87.5     69.5     63.82
-87.5     70.5     63.82
-87.5     71.5     63.82
-87.5     72.5     63.82
-87.5     73.5     63.82
-87.5     74.5     63.82
-87.5     75.5     63.82
-87.5     76.5     63.84
-87.5     77.5     63.84
-87.5     78.5     63.84
-87.5     79.5     63.84
-87.5     80.5     63.84
-87.5     81.5     63.84
-87.5     82.5     63.84
-87.5     83.5     63.84
-87.5     84.5     63.85
-87.5     85.5     63.85
-87.5     86.5     63.85
-87.5     87.5     63.85
-87.5     88.5     63.85
-87.5     89.5     63.85
-87.5     90.5     63.85
-87.5     91.5     63.85
-87.5     92.5     63.85
-87.5     93.5     63.85
-87.5     94.5     63.85
-87.5     95.5     63.85
-87.5     96.5     63.85
-87.5     97.5     63.85
-87.5     98.5     63.85
-87.5     99.5     63.85
-87.5     100.5     63.85
-87.5     101.5     63.85
-87.5     102.5     63.85
-87.5     103.5     63.85
-87.5     104.5     63.85
-87.5     105.5     63.85
-87.5     106.5     63.85
-87.5     107.5     63.85
-87.5     108.5     63.84
-87.5     109.5     63.84
-87.5     110.5     63.84
-87.5     111.5     63.84
-87.5     112.5     63.84
-87.5     113.5     63.84
-87.5     114.5     63.84
-87.5     115.5     63.84
-87.5     116.5     63.83
-87.5     117.5     63.83
-87.5     118.5     63.83
-87.5     119.5     63.83
-87.5     120.5     63.83
-87.5     121.5     63.83
-87.5     122.5     63.83
-87.5     123.5     63.83
-87.5     124.5     63.81
-87.5     125.5     63.81
-87.5     126.5     63.81
-87.5     127.5     63.81
-87.5     128.5     63.81
-87.5     129.5     63.81
-87.5     130.5     63.81
-87.5     131.5     63.81
-87.5     132.5     63.78
-87.5     133.5     63.78
-87.5     134.5     63.78
-87.5     135.5     63.78
-87.5     136.5     63.78
-87.5     137.5     63.78
-87.5     138.5     63.78
-87.5     139.5     63.78
-87.5     140.5     63.75
-87.5     141.5     63.75
-87.5     142.5     63.75
-87.5     143.5     63.75
-87.5     144.5     63.75
-87.5     145.5     63.75
-87.5     146.5     63.75
-87.5     147.5     63.75
-87.5     148.5     63.72
-87.5     149.5     63.72
-87.5     150.5     63.72
-87.5     151.5     63.72
-87.5     152.5     63.72
-87.5     153.5     63.72
-87.5     154.5     63.72
-87.5     155.5     63.72
-87.5     156.5     63.68
-87.5     157.5     63.68
-87.5     158.5     63.68
-87.5     159.5     63.68
-87.5     160.5     63.68
-87.5     161.5     63.68
-87.5     162.5     63.68
-87.5     163.5     63.68
-87.5     164.5     63.64
-87.5     165.5     63.64
-87.5     166.5     63.64
-87.5     167.5     63.64
-87.5     168.5     63.64
-87.5     169.5     63.64
-87.5     170.5     63.64
-87.5     171.5     63.64
-87.5     172.5     63.6
-87.5     173.5     63.6
-87.5     174.5     63.6
-87.5     175.5     63.6
-87.5     176.5     63.6
-87.5     177.5     63.6
-87.5     178.5     63.6
-87.5     179.5     63.6
-87.5     180.5     63.55
-87.5     181.5     63.55
-87.5     182.5     63.55
-87.5     183.5     63.55
-87.5     184.5     63.55
-87.5     185.5     63.55
-87.5     186.5     63.55
-87.5     187.5     63.55
-87.5     188.5     63.51
-87.5     189.5     63.51
-87.5     190.5     63.51
-87.5     191.5     63.51
-87.5     192.5     63.51
-87.5     193.5     63.51
-87.5     194.5     63.51
-87.5     195.5     63.51
-87.5     196.5     63.47
-87.5     197.5     63.47
-87.5     198.5     63.47
-87.5     199.5     63.47
-87.5     200.5     63.47
-87.5     201.5     63.47
-87.5     202.5     63.47
-87.5     203.5     63.47
-87.5     204.5     63.43
-87.5     205.5     63.43
-87.5     206.5     63.43
-87.5     207.5     63.43
-87.5     208.5     63.43
-87.5     209.5     63.43
-87.5     210.5     63.43
-87.5     211.5     63.43
-87.5     212.5     63.39
-87.5     213.5     63.39
-87.5     214.5     63.39
-87.5     215.5     63.39
-87.5     216.5     63.39
-87.5     217.5     63.39
-87.5     218.5     63.39
-87.5     219.5     63.39
-87.5     220.5     63.35
-87.5     221.5     63.35
-87.5     222.5     63.35
-87.5     223.5     63.35
-87.5     224.5     63.35
-87.5     225.5     63.35
-87.5     226.5     63.35
-87.5     227.5     63.35
-87.5     228.5     63.32
-87.5     229.5     63.32
-87.5     230.5     63.32
-87.5     231.5     63.32
-87.5     232.5     63.32
-87.5     233.5     63.32
-87.5     234.5     63.32
-87.5     235.5     63.32
-87.5     236.5     63.29
-87.5     237.5     63.29
-87.5     238.5     63.29
-87.5     239.5     63.29
-87.5     240.5     63.29
-87.5     241.5     63.29
-87.5     242.5     63.29
-87.5     243.5     63.29
-87.5     244.5     63.26
-87.5     245.5     63.26
-87.5     246.5     63.26
-87.5     247.5     63.26
-87.5     248.5     63.26
-87.5     249.5     63.26
-87.5     250.5     63.26
-87.5     251.5     63.26
-87.5     252.5     63.25
-87.5     253.5     63.25
-87.5     254.5     63.25
-87.5     255.5     63.25
-87.5     256.5     63.25
-87.5     257.5     63.25
-87.5     258.5     63.25
-87.5     259.5     63.25
-87.5     260.5     63.23
-87.5     261.5     63.23
-87.5     262.5     63.23
-87.5     263.5     63.23
-87.5     264.5     63.23
-87.5     265.5     63.23
-87.5     266.5     63.23
