CERES - EBAFTOA42 Data
Parameter: Incoming Solar Flux (W m-2)
Time Range: September - 2023
Time Resolution: MON
Selected Region: [-90,0 to 90,360]
Valid Range: 0 - 800
Satellite: -

Latitude  Longitude  Data
-88.5     86.5     10.18
-88.5     87.5     10.18
-88.5     88.5     10.18
-88.5     89.5     10.18
-88.5     90.5     10.18
-88.5     91.5     10.18
-88.5     92.5     10.18
-88.5     93.5     10.18
-88.5     94.5     10.18
-88.5     95.5     10.18
-88.5     96.5     10.18
-88.5     97.5     10.18
-88.5     98.5     10.18
-88.5     99.5     10.18
-88.5     100.5     10.18
-88.5     101.5     10.18
-88.5     102.5     10.18
-88.5     103.5     10.18
-88.5     104.5     10.18
-88.5     105.5     10.18
-88.5     106.5     10.18
-88.5     107.5     10.18
-88.5     108.5     10.19
-88.5     109.5     10.19
-88.5     110.5     10.19
-88.5     111.5     10.19
-88.5     112.5     10.19
-88.5     113.5     10.19
-88.5     114.5     10.19
-88.5     115.5     10.19
-88.5     116.5     10.2
-88.5     117.5     10.2
-88.5     118.5     10.2
-88.5     119.5     10.2
-88.5     120.5     10.2
-88.5     121.5     10.2
-88.5     122.5     10.2
-88.5     123.5     10.2
-88.5     124.5     10.21
-88.5     125.5     10.21
-88.5     126.5     10.21
-88.5     127.5     10.21
-88.5     128.5     10.21
-88.5     129.5     10.21
-88.5     130.5     10.21
-88.5     131.5     10.21
-88.5     132.5     10.23
-88.5     133.5     10.23
-88.5     134.5     10.23
-88.5     135.5     10.23
-88.5     136.5     10.23
-88.5     137.5     10.23
-88.5     138.5     10.23
-88.5     139.5     10.23
-88.5     140.5     10.25
-88.5     141.5     10.25
-88.5     142.5     10.25
-88.5     143.5     10.25
-88.5     144.5     10.25
-88.5     145.5     10.25
-88.5     146.5     10.25
-88.5     147.5     10.25
-88.5     148.5     10.27
-88.5     149.5     10.27
-88.5     150.5     10.27
-88.5     151.5     10.27
-88.5     152.5     10.27
-88.5     153.5     10.27
-88.5     154.5     10.27
-88.5     155.5     10.27
-88.5     156.5     10.3
-88.5     157.5     10.3
-88.5     158.5     10.3
-88.5     159.5     10.3
-88.5     160.5     10.3
-88.5     161.5     10.3
